t_low,t_high,approve_rate,review_rate,reject_rate,approve_observed_default_rate,review_observed_default_rate,reject_observed_default_rate,nonrejected_observed_default_rate,approve_avg_pd,review_avg_pd,reject_avg_pd,risk_proxy_nonrejected,risk_proxy_approved_only
0.12,0.33,0.6475183460901128,0.1795786317367632,0.17290302217312398,0.04669753838654643,0.2414974953862378,0.7112084702446149,0.08899234864240875,0.04987598072251721,0.19801218510205185,0.7494030465455466,60543171.54211727,27297922.82008081
0.12,0.36,0.6475183460901128,0.190231200189379,0.16225045372050817,0.04669753838654643,0.24829931972789115,0.7340725610349188,0.09247607565368096,0.04987598072251721,0.2062097469139542,0.7759933997596004,64318796.44304125,27297922.82008081
0.12,0.39,0.6475183460901128,0.19993687366842894,0.1525447802414582,0.04669753838654643,0.2537690425447944,0.7578108835092076,0.09555112758151921,0.04987598072251721,0.21437448353693303,0.8015445996585817,68216867.99789001,27297922.82008081
0.12,0.42,0.6475183460901128,0.20838002051605775,0.1441016333938294,0.04669753838654643,0.25810360496819146,0.7810754572335998,0.09816720138658407,0.04987598072251721,0.22209596921485497,0.8247820890062765,71968096.14267978,27297922.82008081
0.12,0.45,0.6475183460901128,0.21518188274283911,0.13729977116704806,0.04669753838654643,0.2624862486248625,0.8001149425287356,0.10052135735845605,0.04987598072251721,0.22883777642852382,0.8440732586926819,75242875.73316982,27297922.82008081
0.12,0.48,0.6475183460901128,0.22184171072358558,0.1306399431863016,0.04669753838654643,0.2662730312299922,0.8210920512201014,0.10272841142193258,0.04987598072251721,0.23592803127609013,0.863396967453643,78779657.57180771,27297922.82008081
0.12,0.51,0.6475183460901128,0.22785449380572873,0.12462716010415845,0.04669753838654643,0.27053608533037815,0.8400658477903001,0.10496141919665393,0.04987598072251721,0.2427564934523846,0.8811855362496804,82150934.90759474,27297922.82008081
0.12,0.54,0.6475183460901128,0.23347273731555274,0.11900891659433441,0.04669753838654643,0.2743003920508314,0.859567696591964,0.10701490398394956,0.04987598072251721,0.24954712014278363,0.898002962052369,85343514.12337168,27297922.82008081
0.12,0.57,0.6475183460901128,0.23883847549909257,0.1136431784107946,0.04669753838654643,0.2780494251354566,0.8793223163449521,0.10903781781924364,0.04987598072251721,0.2564139184761589,0.9141886113055224,88523711.89533772,27297922.82008081
0.12,0.6,0.6475183460901128,0.24327310029195928,0.10920855361792788,0.04669753838654643,0.2814790788193318,0.8960982658959538,0.11081583842678713,0.04987598072251721,0.26239484021961507,0.9275757182433366,91462793.7458159,27297922.82008081
0.12,0.63,0.6475183460901128,0.2476761619190405,0.10480549199084668,0.04669753838654643,0.285395692621384,0.9126637554585153,0.11273887596079261,0.04987598072251721,0.2686541492227591,0.940729139335533,94456492.80155282,27297922.82008081
0.14,0.15,0.6825376785291565,0.014440148346879192,0.30302217312396434,0.05394344377904691,0.1923497267759563,0.5180459351075465,0.056810977266551946,0.053965836992153564,0.14487781062680344,0.5230727691514485,33104949.831592906,31288226.78206583
0.14,0.18,0.6825376785291565,0.050769352166022255,0.2666929693048213,0.05394344377904691,0.20982281628846752,0.5590863364696136,0.06473550553092584,0.053965836992153564,0.15878513516110432,0.5719434083310972,38408576.265189886,31288226.78206583
0.14,0.21,0.6825376785291565,0.07745600883768641,0.2400063126331571,0.05394344377904691,0.217400162999185,0.5954760652288269,0.07060240463484022,0.053965836992153564,0.17111005005824725,0.6139055307413603,43091541.941998646,31288226.78206583
0.14,0.24,0.6825376785291565,0.09743549277992583,0.2200268286909177,0.05394344377904691,0.22789115646258504,0.6251613828718978,0.07567326953038059,0.053965836992153564,0.18211600671625158,0.649239650820137,47188023.798885435,31288226.78206583
0.14,0.27,0.6825376785291565,0.11503195770535785,0.20243036376548568,0.05394344377904691,0.2380299080806695,0.6539331098464177,0.08049388578891131,0.053965836992153564,0.1932033404171379,0.6835444210571426,51643287.099809326,31288226.78206583
0.14,0.3,0.6825376785291565,0.13119229858754833,0.1862700228832952,0.05394344377904691,0.24768434981354506,0.6832161314919936,0.08517900779643924,0.053965836992153564,0.2044099787175004,0.7181922633332125,56346319.210990235,31288226.78206583
0.14,0.33,0.6825376785291565,0.14455929929771957,0.17290302217312398,0.05394344377904691,0.2544759825327511,0.7112084702446149,0.08899234864240875,0.053965836992153564,0.21458773572570736,0.7494030465455466,60543171.54211727,31288226.78206583
0.14,0.36,0.6825376785291565,0.15521186775033535,0.16225045372050817,0.05394344377904691,0.2619217081850534,0.7340725610349188,0.09247607565368096,0.053965836992153564,0.22349723378465033,0.7759933997596004,64318796.44304125,31288226.78206583
0.14,0.39,0.6825376785291565,0.16491754122938532,0.1525447802414582,0.05394344377904691,0.2677511961722488,0.7578108835092076,0.09555112758151921,0.053965836992153564,0.23237830975125706,0.8015445996585817,68216867.99789001,31288226.78206583
0.14,0.42,0.6825376785291565,0.17336068807701413,0.1441016333938294,0.05394344377904691,0.27228038233955393,0.7810754572335998,0.09816720138658407,0.053965836992153564,0.2407827202989692,0.8247820890062765,71968096.14267978,31288226.78206583
0.14,0.45,0.6825376785291565,0.18016255030379547,0.13729977116704806,0.05394344377904691,0.2769796776454099,0.8001149425287356,0.10052135735845605,0.053965836992153564,0.24812947499773597,0.8440732586926819,75242875.73316982,31288226.78206583
0.14,0.48,0.6825376785291565,0.18682237828454193,0.1306399431863016,0.05394344377904691,0.28095962155769555,0.8210920512201014,0.10272841142193258,0.053965836992153564,0.25586106948971366,0.863396967453643,78779657.57180771,31288226.78206583
0.14,0.51,0.6825376785291565,0.19283516136668508,0.12462716010415845,0.05394344377904691,0.2855389148048122,0.8400658477903001,0.10496141919665393,0.053965836992153564,0.2633080659167494,0.8811855362496804,82150934.90759474,31288226.78206583
0.14,0.54,0.6825376785291565,0.19845340487650912,0.11900891659433441,0.05394344377904691,0.2895427435387674,0.859567696591964,0.10701490398394956,0.053965836992153564,0.2707151570865664,0.898002962052369,85343514.12337168,31288226.78206583
0.14,0.57,0.6825376785291565,0.20381914306004892,0.1136431784107946,0.05394344377904691,0.2935346496322106,0.8793223163449521,0.10903781781924364,0.053965836992153564,0.278204510041767,0.9141886113055224,88523711.89533772,31288226.78206583
0.14,0.6,0.6825376785291565,0.20825376785291566,0.10920855361792788,0.05394344377904691,0.29721127614428616,0.8960982658959538,0.11081583842678713,0.053965836992153564,0.2847271496632766,0.9275757182433366,91462793.7458159,31288226.78206583
0.14,0.63,0.6825376785291565,0.21265682947999684,0.10480549199084668,0.05394344377904691,0.3014471243042672,0.9126637554585153,0.11273887596079261,0.053965836992153564,0.2915548217345612,0.940729139335533,94456492.80155282,31288226.78206583
0.16,0.18,0.709934506430995,0.023372524264183698,0.2666929693048213,0.05993108814049127,0.21066846725185687,0.5590863364696136,0.06473550553092584,0.057658149921447556,0.16949925028400017,0.5719434083310972,38408576.265189886,34829629.321457714
0.16,0.21,0.709934506430995,0.050059180935847866,0.2400063126331571,0.05993108814049127,0.22194199243379573,0.5954760652288269,0.07060240463484022,0.057658149921447556,0.18285773503884273,0.6139055307413603,43091541.941998646,34829629.321457714
0.16,0.24,0.709934506430995,0.07003866487808727,0.2200268286909177,0.05993108814049127,0.2352410995944119,0.6251613828718978,0.07567326953038059,0.057658149921447556,0.19481767357446345,0.649239650820137,47188023.798885435,34829629.321457714
